Key,English,Russian,Ukrainian,Afrikaans,Hebrew,Portuguese,Spanish,German,ChineseSimplified,ChineseTraditional,Arabic,Japanese
B.restart,Restart,Рестарт,Перезапуск,Begin oor,אתחול,Reiniciar,Reiniciar,Neu starten,重新开始,重新開始,إعادة بدء,再起動
В.Autopilot,Autopilot,Автопилот,Авто,Autopilot,טייס אוטומטי,Piloto automático,Piloto automático,Autopilot,自动驾驶仪,自動駕駛儀,الطيار الآلي,オートパイロット
B.Shot,Shot,Огонь,Вогонь,Geskiet,בְּעִיטָה,Tomada,Disparo,Schuss,射击,射擊,طلقة,ショット
B.Regen,Regeneration,Востановление,Відновлення,Herlewing,הִתחַדְשׁוּת,Regeneração,Regeneración,Regeneration,再生,再生,تجديد,再生
B.exit,Exit,Выход,Вихід,Verlaat,יְצִיאָה,Saída,Salida,Ausgang,出口,出口,مخرج,出口
B.GetFree,Get free:,Получить:,Отримати:,Kry gratis:,לקבל ללא תשלום:,Liberta-te:,Liberarse:,Kostenlos erhalten:,免费：,免費：,تحرر:,自由になる：
B.Menu,Menu,Меню,Меню,Spyskaart,תַפרִיט,Cardápio,Menú,Speisekarte,菜单,菜單,قائمة الطعام,メニュー
B.Restart,Start!,Старт!,Старт!,Begin!,הַתחָלָה!,Começar!,¡Comienzo!,Anfang!,开始！,開始！,بداية!,始める！
B.Close,Close,Закрыть,Закрити,Naby,סגור,Perto,Cerca,Nah dran,关,關,قريب,近い
B.Leaderboard,Leaderboard,Лидеры,Лідери,Ranglys,לוח מנהיגים,Entre os melhores,Tabla de clasificación,Bestenliste,排行榜,排行榜,ليدربورد,リーダーボード
B.Shop,Shop,Магазин,Магазин,Winkel,לִקְנוֹת,Comprar,Comercio,Geschäft,店铺,店鋪,محل,店
Tog.Music,Music,Музыка,Музика,Musiek,מוּסִיקָה,Música,Música,Musik,音乐,音樂,موسيقى,音楽
Tog.Sonds,Sound,Звуки,Звуки,Klank,נשמע,Som,Sonido,Klang,声音,聲音,يبدو,音
Tog.Vibration,Vibration,Вибро,Вібро,Vibrasie,רֶטֶט,Vibração,Vibración,Vibration,振动,振動,اهتزاز,振動
